"","Year","Country","All Industries","Petroleum","Total Manufacturing","Food and Kindred Products Manufacturing","Chemicals and Allied Products Manufacturing","Primary and Fabricated Metals Manufacturing","Industrial Machinery and Equipment Manufacturing","Electronic and Other Electric Equipment Manufacturing","Transportation Manufacturing","Other Manufacturing","Wholesale Trade","Finance (except depository institutions), Insurance, and Real Estate","Services","Other Industries"
"69",1994,"Dominican Republic",294,105.95062925427,48,52.5601296480564,121.564486421996,0,0,0,0,30,5,0.136992337647825,0.489133197348565,39.2203267530137
"70",1996,"Dominican Republic",357,243.286187250692,115,37.9032066530696,66.8675327328681,0,0,0,0,97.2806069540834,7,0.346001823316328,0.0814527715556324,87.4793303686215
"71",1997,"Dominican Republic",428,197.045930409542,137,6,12,0,0,0,0,119,14,0.16617851855699,0.0778985671931878,17.7856507713862
"72",1998,"Dominican Republic",471,280.891906839093,149,7,44.5405897155962,0,0,0,0,105.903903354879,16,0.480785827385262,0.244073424837552,17.4968312549762
"73",1994,"Ecuador",71,38,32,17,9,-6.34630869740704,0,0.00173263740725815,0,23.8361037183137,5,5,1,-9
"74",1996,"Ecuador",69,31,16,2,11,0.188953458331525,0,0.298169821733609,0,3,10,5,1,6
"75",1997,"Ecuador",41,11,20,6,10,0.00743100373074412,0,0.102612479124218,0,4,5,8,1,-6
"76",1998,"Ecuador",102,62,36,3,10,-7.82230699591672,0,0,-48.9254458860701,0.45697330601979,3,8,1,-7
"77",1994,"Egypt",418,409,-16,9.77290824909587,-1,-54.3677298367641,-61.0783325515594,-27.5836362319528,0,161.610276306836,31,0,3,-9
"78",1996,"Egypt",595,604,-24,-31,80.0121582843885,1,-1,3,0,93.1544474716685,23,0,11,-19
"79",1997,"Egypt",474,472,-20,0.45579754106632,17,0.219997676089406,9,3,0,90.9501717795251,24,0,17,-19
"80",1998,"Egypt",146,127,-13,-0.574684077154929,31,31.4732237637619,8,3,0,151.461196694293,16,0,15,1
"81",1994,"Europe R",-218,-326,144,74.5491773504079,28,14,-2,14.9577266603862,173.321236709184,113.528867324564,-60,-312.242865441764,6,84.8410925028998
"82",1996,"Europe R",383,-43.0714728370036,714,-15,189,-31.5559957298392,-6,33.3193934992808,147,118.050185642508,63,41,-64.2701045727863,-27.7263715744889
"83",1997,"Europe R",716,-101.571460479859,962,-9,202,-2.64922659917598,5,192,156,104.743551232842,-6,90,-48,133.047129352295
"84",1998,"Europe R",-13,-48.894169451775,1071,16.5340816932751,57,108.22476096484,333,-18.0809165465204,126,130.742183877191,-52,-493,-90,39.8564360160802
"85",1994,"Finland",127,106.868035886596,94,31.3703275704402,43,12.3198210074138,1,249.268470250473,0,6,27,-9,7,22.2629338086052
"86",1996,"Finland",336,172.231469190189,261,4,64,4.40731881102109,9,59.5357972347695,14.9376687607919,35,37,42.2302403224941,13,16
"87",1997,"Finland",434,236.942422772958,357,4,80,38.2920537970195,10,311.524284466925,51.406087422152,42,56,287.078725748236,9,32.0201334456192
"88",1998,"Finland",496,278.371103900994,391,4,64,-0.526859674037939,6,-19.4532614179861,33.4320441006729,44,72,40.9017303849864,5,12
"89",1994,"France",2692,671.384529756469,1741,650,1035,47,-551,151,134,275,785,28,68,-45.5949860098784
"90",1996,"France",5085,195.285664842819,3641,711,1430,481,228,258,160,373,943,262,102,-66.4570360564234
"91",1997,"France",5492,134.46717702413,3964,769,1240,376,766,248,278,286,645,337.741734826134,205,188.025952248378
"92",1998,"France",5361,147.475401998135,3412,549,1374,130,656,170,151,382,988,362,391,558.663182043354
"93",1994,"Germany",4238,78,3330,743,543,37,195,280,475,1056,351,133,293,52
"94",1996,"Germany",7254,507,4746,694,1144,81,1209,402,-325,1543,750,869,411,-30
"95",1997,"Germany",8046,742,5732,564,984,198,1365,387,680,1553,488,677,348,59
"96",1998,"Germany",7669,733,5590,614,1081,194,1695,452,-142,1696,521,482,326,17
"97",1994,"Greece",181,264.083970955399,82,28,37,0,86.0164797137233,137.906886369756,0,15,50,174.379101287476,25,30.2372746892592
"98",1996,"Greece",213,113.667927751108,112,28,83,33.5237139767541,1,2,0,186.765461689307,41,12,17,21.7095312372504
"99",1997,"Greece",183,294.61975246339,109,27,77,-4.73623835794519,1,1,0,88.1540807710046,22,22,14,3.0776783535112
"100",1998,"Greece",234,325.198773047819,129,12,94,-12.1959336857646,1,1,0,67.1770168026346,45,30,5,54.918036953549
"101",1994,"Guatemala",57,256.908537521754,25,14,6,23.1657592018844,0,0,0,35.0871991299137,3,3,-2,38.8608526140589
"102",1996,"Guatemala",42,32,30,13,8,2,0,0,0,8,1,3,-2,-23
"103",1997,"Guatemala",79,37,44,19,12,2,0,0,0,11,3,3,-3,-6
"104",1998,"Guatemala",41,84.97990559275,48,17,11,2,0,0,0,18,-4,4,-3,34.4680525333366
"105",1994,"Honduras",25,189.465561402249,38,40,0.309957750374451,30.812659546375,0,0,0,45.1483958519769,8.27588429715027,70.9311014406776,0.189880768419243,4.8908928139434
"106",1996,"Honduras",12,304.829558711847,24,26,-1,1,0,0,0,-1,0.0201746486127377,1,0.413711642264389,61.558310774619
"107",1997,"Honduras",8,489.029602346153,37,36,0.423419082770124,1,0,0,0,0.238250610418618,0.058070074650459,-8,0.373615517164581,44.0440138696728
"108",1998,"Honduras",-10,250.224610829576,63,51.9824011230683,0.408319943235256,1,0,0,0,30.7531666354756,0.432761418865994,1,0.100926710874774,75.9937859709789
"109",1994,"Hong Kong",1988,96,617,29.9879816643037,30,52,55,351,61.739493759393,108,639,234,54,347
"110",1996,"Hong Kong",2558,90,563,5,57,37,-21,395,177.41881742545,161.840901354656,940,438,19,507
"111",1997,"Hong Kong",2813,118,487,7,79,-5,23,280,5,96,1014,602,54,538
"112",1998,"Hong Kong",2805,53,366,13,78,-32,19,205,7,77,1005,581,-10,810
"113",1994,"India",69,-4,68,-14,65,57.1389177297169,16,162.130836855003,-1,79.4201123741234,3,-38.2898735163572,15.9949469688091,52.5711539579185
"114",1996,"India",125,2,76,5,45,-7.5788870546708,29,0.273050014744513,-52.1604908068796,7,36,182.107531289844,3,30.5080818528982
"115",1997,"India",103,47.6925293473377,97,-20,44,86.2960652084941,48,-5,71.7022363975674,44,-36,0.11163699941244,2,-25.7219580797789
"116",1998,"India",218,59,116,-7,58,32.2695703840812,58,-3,-28,80.5882060076185,23,171.080056024642,18,10.1757905764759
"117",1994,"Indonesia",2857,2487,165,8,129,50.4326688457086,-11.6272992697963,186.244502373327,7.74493748952857,23,1,-82.0616045569172,12,398.394490883143
"118",1996,"Indonesia",3898,3207,96,10,52,6,126.351532776134,6,311.873348463571,50.3342708027812,17,-6,7,576
"119",1997,"Indonesia",3451,2807,129,10,38,9.56388548116669,5,48,8.2594622379225,16,24,-5,8,488
"120",1998,"Indonesia",2102,1541,74,1,75,6,-9,5,227.798876269571,135.552478613295,6,-12,-6,499
"121",1994,"Ireland",3866,79,3069,297,1787,30,381,176,0.458339895587415,398,693,-20,-57,102
"122",1996,"Ireland",5671,78,4342,492,2567,24,-4,671,-28,621,853,386,-32,44
"123",1997,"Ireland",8123,96,6820,879,4026,33,136,1144,13,589,1026,243,-110,48
"124",1998,"Ireland",10813,79,8659,823,6104,20,396,665,20,631,397,449,1202,27
"125",1994,"Israel",320,0.28682875551749,250,18,-1.76496619950368,-35.7511510064751,-17,196.475867492054,0,112.672832709969,-2.57490941968352,3.85393538689591,-34.5923107781819,0
"126",1996,"Israel",313,0.305339033831842,322,77.438416011333,-2,-2.09382826652357,15,319,0,70.6304495454126,35,2,-47,0
"127",1997,"Israel",163,0.193515129969455,199,79.0485921330054,-4,-16.3438690174177,-16,184,0,-1,10,-5,-41,0
"128",1998,"Israel",288,0.155255390680395,260,60.3024185568729,-5,13,-7,221,0,60.7900891073188,3,-12,37,0
"129",1994,"Italy",2557,364.827600062523,1755,196,597,37,375,257,111,182,600,3,-23,98.9651735649451
"130",1996,"Italy",3323,136.865626464574,2326,271,644,-21,600,221,182,429,597,159,163,57.4750577767853
"131",1997,"Italy",3770,196.137056288494,2551,331,699,63,751,193,172,343,799,-42,173,56.6119351355925
"132",1998,"Italy",3581,58.7437516071392,1885,219,658,17,374,122,223,271,702,146,494,239.066933764486
"133",1994,"Jamaica",103,5,25,0,17,0,0,0,0,7,69,4,30.9851921968283,64.4216039606303
"134",1996,"Jamaica",217,33.8493898475254,23,0,21,0,0,0,0,3,155,3,20,-10.3275138069166
"135",1997,"Jamaica",193,150.718791048662,24,-2,27,0,0,0,0,-1,112,4,21,50.1225209674222
"136",1998,"Jamaica",66,104.653336473228,25,21.440966872076,30,0,0,0,0,39.7148941049149,3,1,5,21.9965976398859
"137",1994,"Japan",6091,422,2630,740,394,40,90.7667492044307,398,8,237.926046537614,1654,1467,-63,-20
"138",1996,"Japan",8755,159.842792389273,4456,717,865,35,1612,622,15,588,1938,1609,487,80.2484764238471
"139",1997,"Japan",8026,156.502377601861,2762,725,950,30,104,610,-6,349,1538,1558,2059,225.680518378704
"140",1998,"Japan",6138,250.304864638602,2224,758,938,21,86,201,-4,223,705,1535,1514,416.674933886383
"141",1994,"Korea, Republic of",397,10.3698669382639,211,30,32,32.2066679669796,-15,59,-54.2657210887652,94,119,-14,74,58.9802178182674
"142",1996,"Korea, Republic of",955,-4,512,30,44,7,79,174,12,165,358,-1,81,9
"143",1997,"Korea, Republic of",604,-1,234,42,32,2,51,2,-5,110,151,7,199,14
"144",1998,"Korea, Republic of",119,1,141,18,40,1,11,12,-10,68,-132,6,106,-2
"145",1994,"Luxembourg",242,120.664347513499,236,0,0,37.0207345501984,-83.092563028929,-68.4721788322254,0,230,-2,-5,4,130.151418080895
"146",1996,"Luxembourg",468,7,207,0,0,47.4603654254966,-1,8,0,168.802731045945,107.868154174918,109,6,49.4367351324506
"147",1997,"Luxembourg",413,9,228,0,0,56.6321389380961,0.422317313961685,0.0439618893433362,0,303.134204951643,79.1145268617771,202.248520778,4,2
"148",1998,"Luxembourg",573,71.9488054981517,231,73.8775603237792,0,15.943928286071,0.409032521303743,0.269334830692969,0,220,89.8002336313976,38,6,2
"149",1994,"Malaysia",1248,487,580,89.6826877270733,31,10,159.434449633867,284,0,85,90,74,18,0.150633897166699
"150",1996,"Malaysia",1858,733,829,-5,19,5,105,555,0,150,158,118,4,16
"151",1997,"Malaysia",2053,415,1420,121.72522538373,-8,0.141758920042776,408,829,0,103.022602102423,95,96,18,10
"152",1998,"Malaysia",575,227,241,74.7693736183647,-35,0.0824181964853778,42,77,0,119.929367357831,43,70,-2,-4
"153",1994,"Mexico",2612,9,2371,557,700,53,72,90,631,269,149,33,45,5
"154",1996,"Mexico",3360,31,3085,308,850,62,289,127,995,454,107,59,128,-50
"155",1997,"Mexico",4255,69,3731,468,1077,64,448,141,1115,418,173,68,116,98
"156",1998,"Mexico",4588,55,3841,927,1247,73,340.557010927397,86.2590879772031,783,481,194,128,89,279
