accum_earnings	at	capital	emp	iso	n_firms	n_groups	pi	revenue_related	revenue_total	revenue_unrelated	source	t_at	txc	txt	type	wages	year	etr	pi_original
7016208210.0	53002634439.0			VGB	286.0	212.0	-475125464.0		9435524906.0	5686251038.0	CFC			232617794.0	all_groups		2016	-0.4895923532315666	-475125464.0
133811146304.0	1000874832491.0			CAN	8055.0	4495.0	27209402075.0		502511262071.0	387660707014.0	CFC			7323829691.0	all_groups		2016	0.2691654035914716	27209402075.0
76914462811.0	891202087811.0			CYM	1984.0	1040.0	31758212976.0		237417663786.0	179294977068.0	CFC			5142169313.0	all_groups		2016	0.1619162046959628	31758212976.0
2569886266.0	19843330346.0			AUT	595.0	397.0	614349776.0		13255467179.0	10224352886.0	CFC			179137473.0	all_groups		2016	0.2915887333211951	614349776.0
19009298644.0	204943074165.0			BEL	1134.0	639.0	6488268684.0		60397405597.0	33955383115.0	CFC			1245461787.0	all_groups		2016	0.1919559512187427	6488268684.0
2942504516.0	9351792871.0			CZE	497.0	348.0	1000573508.0		13033628296.0	8682590722.0	CFC			193552362.0	all_groups		2016	0.193441421797068	1000573508.0
519921291.0	67663947334.0			DNK	688.0	408.0	603415409.0		15890877759.0	11128910461.0	CFC			279481777.0	all_groups		2016	0.4631664568579156	603415409.0
39191822585.0	437599292402.0			DEU	3895.0	1869.0	10749655138.0		216409268974.0	154834607195.0	CFC			3722932219.0	all_groups		2016	0.3463303865292799	10749655138.0
1749573183.0	35154146579.0			HUN	413.0	284.0	1194049318.0		8457217516.0	4623793375.0	CFC			95654940.0	all_groups		2016	0.08010970615537	1194049318.0
808424555061.0	2385838745580.0			IRL	1479.0	878.0	162262163170.0		712221888602.0	549621567894.0	CFC			5429660194.0	all_groups		2016	0.0334622692556576	162262163170.0
5690819531.0	99078144207.0			ITA	1677.0	963.0	2369764566.0		60707261207.0	46978256349.0	CFC			994666021.0	all_groups		2016	0.4197320000775132	2369764566.0
227061832467.0	2716057795562.0			LUX	1521.0	595.0	39232784516.0		302972605478.0	227954158473.0	CFC			4922065521.0	all_groups		2016	0.1254579704632658	39232784516.0
560497001420.0	3712918627445.0			NLD	4203.0	1867.0	84252878427.0		720229728849.0	461697759796.0	CFC			9858931399.0	all_groups		2016	0.1170159593721437	84252878427.0
5961557691.0	41689645542.0			POL	899.0	549.0	2009110700.0		27753466246.0	17275377778.0	CFC			401751692.0	all_groups		2016	0.1999649357300222	2009110700.0
1121433626.0	6983271264.0			PRT	396.0	265.0	426552334.0		8151395907.0	6450017775.0	CFC			121415981.0	all_groups		2016	0.2846449809837402	426552334.0
12090713664.0	122845065873.0			ESP	1565.0	850.0	3700577680.0		72705376492.0	49225466202.0	CFC			1158073767.0	all_groups		2016	0.3129440501300327	3700577680.0
6052825366.0	129538466639.0			SWE	984.0	587.0	3476500161.0		43509374345.0	31929386844.0	CFC			707551618.0	all_groups		2016	0.203524114837514	3476500161.0
169776490991.0	4668102675774.0			GBR	9681.0	4164.0	39479418121.0		568472202069.0	436285287708.0	CFC			8600541912.0	all_groups		2016	0.217848750598104	39479418121.0
2830912347.0	48729909233.0			NOR	435.0	265.0	633674664.0		11785466577.0	8295195968.0	CFC			210717752.0	all_groups		2016	0.3325330236021556	633674664.0
308036826104.0	754073509316.0			CHE	1414.0	797.0	42730549097.0		359800032815.0	211613008309.0	CFC			3851025362.0	all_groups		2016	0.0901234700555338	42730549097.0
4702108386.0	34592891236.0			RUS	774.0	464.0	3250912760.0		32138239193.0	21912211305.0	CFC			719420273.0	all_groups		2016	0.2212979326458456	3250912760.0
25374134035.0	93852912420.0			IND	3604.0	2454.0	9661652331.0		85392344239.0	49066568456.0	CFC			3997478268.0	all_groups		2016	0.4137468552013456	9661652331.0
6683654802.0	61557366333.0			ISR	1136.0	808.0	1390911848.0		22233666855.0	10902814194.0	CFC			486714335.0	all_groups		2016	0.3499246452604809	1390911848.0
2710298337.0	20365974535.0			TUR	577.0	368.0	1292736499.0		31909924039.0	22830397739.0	CFC			370100129.0	all_groups		2016	0.2862920086856772	1292736499.0
49170493259.0	301161859129.0			CHN	6295.0	2948.0	21512621378.0		289984655722.0	202258910677.0	CFC			4585573525.0	all_groups		2016	0.2131573574613023	21512621378.0
47143499582.0	208576074212.0			HKG	2578.0	1649.0	7169600036.0		86463635913.0	55756903709.0	CFC			1660946612.0	all_groups		2016	0.2316651701154951	7169600036.0
25127206410.0	694177176432.0			JPN	2352.0	1472.0	14405125961.0		222172556991.0	187854419076.0	CFC			5326812371.0	all_groups		2016	0.3697858932592224	14405125961.0
25317355188.0	173818892115.0			KOR	985.0	719.0	5606469494.0		87787354541.0	67229745578.0	CFC			1694060474.0	all_groups		2016	0.3021617215277761	5606469494.0
10699275396.0	43855439622.0			MYS	1074.0	613.0	2380681536.0		39251174565.0	18668606834.0	CFC			439899848.0	all_groups		2016	0.1847789556679285	2380681536.0
4399962513.0	16692751284.0			PHL	645.0	439.0	1757161839.0		22044424830.0	11905052623.0	CFC			388433934.0	all_groups		2016	0.2210575744241393	1757161839.0
120340497045.0	389328244637.0			SGP	2414.0	1549.0	23522412170.0		239775056975.0	170059727253.0	CFC			1964063611.0	all_groups		2016	0.0834975425481629	23522412170.0
5761329667.0	23868529834.0			THA	778.0	502.0	2413419617.0		30761878586.0	22072359555.0	CFC			373238727.0	all_groups		2016	0.1546514018411577	2413419617.0
27957968263.0	326322414332.0			AUS	3068.0	1614.0	6848226109.0		113995803224.0	92189260799.0	CFC			2319943860.0	all_groups		2016	0.3387656632644049	6848226109.0
5833341848.0	39267853388.0			PRI	553.0	393.0	9498375810.0		32853491759.0	17594701352.0	CFC			303516606.0	all_groups		2016	0.0319545796114378	9498375810.0
				Rest			799088124586.0				CFC			127431344272.0	positive_groups		2012	0.1594709523909155	799088124586.0
				MEX			25651334120.0				CFC			7165136204.0	positive_groups		2012	0.2793280135247796	25651334120.0
				PAN			523233113.0				CFC			83512337.0	positive_groups		2012	0.1596082796082517	523233113.0
				ARG			3803663682.0				CFC			1432329003.0	positive_groups		2012	0.3765656279702596	3803663682.0
				BRA			15238190208.0				CFC			3889182400.0	positive_groups		2012	0.2552260043294506	15238190208.0
				CHL			5758132652.0				CFC			929264173.0	positive_groups		2012	0.1613829046951938	5758132652.0
				COL			1668464664.0				CFC			534664637.0	positive_groups		2012	0.3204530779322516	1668464664.0
				PER			2715291307.0				CFC			711590261.0	positive_groups		2012	0.2620677417430409	2715291307.0
				URY			313914848.0				CFC			28426156.0	positive_groups		2012	0.0905537160191925	313914848.0
				VEN			3179064289.0				CFC			749437353.0	positive_groups		2012	0.2357414902218732	3179064289.0
				BHS			9317143356.0				CFC			1456121333.0	positive_groups		2012	0.1562840966767239	9317143356.0
				BMU			82409611394.0				CFC			12245214142.0	positive_groups		2012	0.1485896357823565	82409611394.0
				VGB			6598821257.0				CFC			645469009.0	positive_groups		2012	0.0978158043476764	6598821257.0
				CAN			49249226647.0				CFC			9154061944.0	positive_groups		2012	0.185872196727329	49249226647.0
				CYM			37134333978.0				CFC			9203833288.0	positive_groups		2012	0.2478523862432204	37134333978.0
				AUT			829710961.0				CFC			198675407.0	positive_groups		2012	0.2394513467202466	829710961.0
				BEL			4982361014.0				CFC			851618774.0	positive_groups		2012	0.1709267497090286	4982361014.0
				CYP			389846261.0				CFC			57204491.0	positive_groups		2012	0.1467360257688863	389846261.0
				CZE			1363677412.0				CFC			209016065.0	positive_groups		2012	0.1532738337972851	1363677412.0
				DNK			3090862313.0				CFC			213431154.0	positive_groups		2012	0.0690523007454327	3090862313.0
				FIN			455811305.0				CFC			80124568.0	positive_groups		2012	0.1757845124091426	455811305.0
				DEU			15350697269.0				CFC			3223729585.0	positive_groups		2012	0.2100054172464314	15350697269.0
				GRC			263928861.0				CFC			59853796.0	positive_groups		2012	0.226780033730377	263928861.0
				HUN			2504230965.0				CFC			156531162.0	positive_groups		2012	0.0625066793709261	2504230965.0
				IRL			132090119347.0				CFC			3180742679.0	positive_groups		2012	0.0240800954282144	132090119347.0
				ITA			4016435962.0				CFC			1438101436.0	positive_groups		2012	0.3580541180305266	4016435962.0
				LUX			35723732889.0				CFC			5369378632.0	positive_groups		2012	0.1503028434537794	35723732889.0
				NLD			80794730526.0				CFC			13570278023.0	positive_groups		2012	0.1679599391526288	80794730526.0
				POL			2053344337.0				CFC			355984747.0	positive_groups		2012	0.1733682658993789	2053344337.0
				PRT			497495046.0				CFC			125143959.0	positive_groups		2012	0.2515481510945538	497495046.0
				ROU			413222376.0				CFC			71901627.0	positive_groups		2012	0.1740022592580998	413222376.0
				ESP			5728426480.0				CFC			1230056735.0	positive_groups		2012	0.2147285540443909	5728426480.0
				SWE			4481743189.0				CFC			499645916.0	positive_groups		2012	0.1114847270201318	4481743189.0
				GBR			54015010274.0				CFC			7725740093.0	positive_groups		2012	0.1430295033511965	54015010274.0
				NOR			4368242809.0				CFC			2606053514.0	positive_groups		2012	0.5965908096112887	4368242809.0
